"Pro.ID","Hardwood.Flooring","Carpet.Flooring","Tile.Flooring","Roofing","Painting","Lawn...Garden","Electrical","Plumbing","RHardwood","RCarpet","RTile","RRoofing","RPainting","RLawnGarden","RElectrical","RPlumbing"
1,1,0,1,0,0,0,1,0,12.7179487179487,0,12.7179487179487,0,0,0,15.7179487179487,0
2,0,0,1,1,1,0,1,0,0,0,15.75,15.75,15.75,0,18.75,0
3,0,0,1,1,1,1,0,1,0,0,9.88888888888889,9.88888888888889,9.88888888888889,9.88888888888889,0,9.88888888888889
4,0,0,1,0,0,0,1,1,0,0,15.9189189189189,0,0,0,15.9189189189189,15.9189189189189
5,1,0,0,1,1,1,1,0,4.48484848484848,0,0,4.48484848484848,4.48484848484848,4.48484848484848,4.48484848484848,0
6,1,0,0,0,0,0,0,1,17.0322580645161,0,0,0,0,0,0,20.0322580645161
7,1,0,1,1,0,0,1,0,23.5294117647059,0,23.5294117647059,23.5294117647059,0,0,26.5294117647059,0
8,0,1,1,1,0,1,0,0,0,7,7,7,0,7,0,0
9,0,1,0,1,1,1,0,1,0,10.3103448275862,0,10.3103448275862,10.3103448275862,10.3103448275862,0,10.3103448275862
10,0,1,1,0,1,1,1,1,0,16.4117647058824,16.4117647058824,0,16.4117647058824,16.4117647058824,19.4117647058824,16.4117647058824
11,0,1,1,1,0,1,1,0,0,4.14285714285714,4.14285714285714,4.14285714285714,0,4.14285714285714,7.14285714285714,0
12,1,0,1,1,1,0,1,0,14.1428571428571,0,14.1428571428571,14.1428571428571,14.1428571428571,0,14.1428571428571,0
13,1,0,0,0,0,1,0,1,12.7368421052632,0,0,0,0,12.7368421052632,0,15.7368421052632
14,1,0,1,0,1,1,0,0,8.57142857142857,0,8.57142857142857,0,8.57142857142857,8.57142857142857,0,0
15,0,0,0,0,1,1,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,0
16,1,0,0,1,1,0,0,0,8.75,0,0,8.75,8.75,0,0,0
17,1,0,1,0,1,1,1,1,22,0,22,0,22,22,22,22
18,0,0,1,0,0,1,1,1,0,0,18.1666666666667,0,0,18.1666666666667,21.1666666666667,18.1666666666667
19,0,0,0,0,1,0,1,1,0,0,0,0,27.4117647058824,0,30.4117647058824,27.4117647058824
20,1,0,0,1,0,0,0,0,12.7435897435897,0,0,12.7435897435897,0,0,0,0
21,1,1,0,1,0,1,1,0,2.70967741935484,2.70967741935484,0,2.70967741935484,0,2.70967741935484,5.70967741935484,0
22,1,1,0,0,1,1,1,1,24,24,0,0,24,24,27,24
23,0,0,0,0,1,0,1,1,0,0,0,0,10.6551724137931,0,13.6551724137931,10.6551724137931
24,1,1,0,1,0,1,1,0,16.6428571428571,16.6428571428571,0,16.6428571428571,0,16.6428571428571,16.6428571428571,0
25,1,1,0,0,0,0,1,1,18.6875,18.6875,0,0,0,0,21.6875,18.6875
26,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
27,1,1,1,1,1,0,0,0,10.8461538461538,10.8461538461538,10.8461538461538,10.8461538461538,10.8461538461538,0,0,0
28,0,0,0,0,0,1,1,0,0,0,0,0,0,7.31034482758621,7.31034482758621,0
29,0,0,0,1,1,1,1,0,0,0,0,14.6969696969697,14.6969696969697,14.6969696969697,14.6969696969697,0
30,0,1,1,0,0,0,1,1,0,8.68421052631579,8.68421052631579,0,0,0,11.6842105263158,8.68421052631579
31,1,0,0,1,0,1,1,1,28,0,0,28,0,28,31,28
32,0,0,1,0,0,0,1,1,0,0,9,0,0,0,9,9
33,0,0,0,0,1,1,1,1,0,0,0,0,4.75,4.75,7.75,7.75
34,0,0,0,0,0,1,0,0,0,0,0,0,0,15.1891891891892,0,0
35,1,1,1,1,0,1,0,0,11.6206896551724,11.6206896551724,11.6206896551724,11.6206896551724,0,11.6206896551724,0,0
36,1,0,1,1,1,0,1,1,20,0,20,20,20,0,23,20
37,1,0,0,0,1,1,1,1,18.6153846153846,0,0,0,18.6153846153846,18.6153846153846,18.6153846153846,21.6153846153846
38,0,0,1,1,0,1,1,1,0,0,13.2142857142857,13.2142857142857,0,13.2142857142857,16.2142857142857,16.2142857142857
39,1,1,0,0,0,1,0,1,28.5185185185185,28.5185185185185,0,0,0,28.5185185185185,0,28.5185185185185
40,1,1,1,1,1,0,0,0,4,4,4,4,4,0,0,0
41,0,1,1,1,1,1,1,0,0,1.72222222222222,1.72222222222222,1.72222222222222,1.72222222222222,1.72222222222222,4.72222222222222,0
42,1,0,0,0,1,1,1,1,14.4,0,0,0,14.4,14.4,14.4,17.4
43,1,0,0,1,0,1,1,0,12.6875,0,0,12.6875,0,12.6875,15.6875,0
44,1,0,1,0,0,1,0,0,12.6,0,12.6,0,0,12.6,0,0
45,1,1,1,1,0,1,0,0,14.7096774193548,14.7096774193548,14.7096774193548,14.7096774193548,0,14.7096774193548,0,0
46,0,0,0,1,0,0,1,0,0,0,0,2.45945945945946,0,0,2.45945945945946,0
47,0,1,0,1,0,1,0,1,0,21.4,0,21.4,0,21.4,0,24.4
48,0,1,1,1,0,1,0,1,0,15.5,15.5,15.5,0,15.5,0,18.5
49,1,1,1,0,0,0,0,0,11.2926829268293,11.2926829268293,11.2926829268293,0,0,0,0,0
50,0,1,1,0,1,1,0,1,0,24.3333333333333,24.3333333333333,0,24.3333333333333,24.3333333333333,0,27.3333333333333
51,1,1,1,1,1,0,1,0,8.31034482758621,8.31034482758621,8.31034482758621,8.31034482758621,8.31034482758621,0,11.3103448275862,0
52,0,0,1,0,0,1,0,0,0,0,27.8888888888889,0,0,27.8888888888889,0,0
53,1,0,0,1,1,0,1,1,24.5185185185185,0,0,24.5185185185185,24.5185185185185,0,27.5185185185185,27.5185185185185
54,0,1,1,1,0,1,0,1,0,9.66666666666667,9.66666666666667,9.66666666666667,0,9.66666666666667,0,9.66666666666667
55,0,0,1,0,1,1,0,0,0,0,16.5294117647059,0,16.5294117647059,16.5294117647059,0,0
56,1,0,1,1,0,0,0,0,11.2307692307692,0,11.2307692307692,11.2307692307692,0,0,0,0
57,0,1,1,0,0,0,0,0,0,17.9473684210526,17.9473684210526,0,0,0,0,0
58,0,1,0,0,0,0,1,0,0,15.6206896551724,0,0,0,0,18.6206896551724,0
59,0,1,1,0,1,1,1,0,0,18.6666666666667,18.6666666666667,0,18.6666666666667,18.6666666666667,21.6666666666667,0
60,1,1,0,0,1,1,0,0,8.67741935483871,8.67741935483871,0,0,8.67741935483871,8.67741935483871,0,0
61,1,0,1,0,1,1,1,1,16.6,0,16.6,0,16.6,16.6,19.6,19.6
62,0,0,1,0,1,0,0,1,0,0,18.9285714285714,0,18.9285714285714,0,0,21.9285714285714
63,1,0,1,0,0,1,1,0,23.2758620689655,0,23.2758620689655,0,0,23.2758620689655,26.2758620689655,0
64,0,0,1,1,1,0,0,1,0,0,26.4615384615385,26.4615384615385,26.4615384615385,0,0,26.4615384615385
65,0,0,1,1,0,1,1,0,0,0,17.0322580645161,17.0322580645161,0,17.0322580645161,20.0322580645161,0
66,1,1,0,1,0,1,1,0,1.61538461538462,1.61538461538462,0,1.61538461538462,0,1.61538461538462,1.61538461538462,0
67,1,1,1,1,1,0,0,1,8.375,8.375,8.375,8.375,8.375,0,0,11.375
68,0,0,1,1,0,1,1,1,0,0,20.4615384615385,20.4615384615385,0,20.4615384615385,20.4615384615385,20.4615384615385
69,0,0,0,0,1,1,0,1,0,0,0,0,21.2592592592593,21.2592592592593,0,24.2592592592593
70,1,0,0,1,1,1,0,1,-0.416666666666667,0,0,-0.416666666666667,-0.416666666666667,-0.416666666666667,0,-0.416666666666667
71,1,1,1,0,1,0,1,0,6.14814814814815,6.14814814814815,6.14814814814815,0,6.14814814814815,0,6.14814814814815,0
72,0,0,1,1,0,1,0,1,0,0,12.3548387096774,12.3548387096774,0,12.3548387096774,0,15.3548387096774
73,0,1,1,0,0,1,0,1,0,3.16666666666667,3.16666666666667,0,0,3.16666666666667,0,3.16666666666667
74,1,0,0,0,1,1,1,1,13.3939393939394,0,0,0,13.3939393939394,13.3939393939394,13.3939393939394,16.3939393939394
75,1,0,0,0,1,0,0,1,11.3939393939394,0,0,0,11.3939393939394,0,0,14.3939393939394
76,1,0,1,0,1,0,0,0,0.586206896551724,0,0.586206896551724,0,0.586206896551724,0,0,0
77,0,1,1,1,1,1,0,0,0,12.7222222222222,12.7222222222222,12.7222222222222,12.7222222222222,12.7222222222222,0,0
78,0,1,0,1,1,0,0,0,0,17.2592592592593,0,17.2592592592593,17.2592592592593,0,0,0
79,1,0,0,0,1,0,0,0,11.6774193548387,0,0,0,11.6774193548387,0,0,0
80,1,1,0,0,0,1,0,0,16.2307692307692,16.2307692307692,0,0,0,16.2307692307692,0,0
81,1,1,0,1,0,0,1,1,24.2307692307692,24.2307692307692,0,24.2307692307692,0,0,27.2307692307692,27.2307692307692
82,1,1,1,1,0,1,0,1,4.56521739130435,4.56521739130435,4.56521739130435,4.56521739130435,0,4.56521739130435,0,7.56521739130435
83,0,0,1,0,1,0,0,0,0,0,22.1481481481481,0,22.1481481481481,0,0,0
84,0,1,1,1,0,1,1,0,0,25.8461538461538,25.8461538461538,25.8461538461538,0,25.8461538461538,25.8461538461538,0
85,1,0,1,1,0,1,0,1,11.9166666666667,0,11.9166666666667,11.9166666666667,0,11.9166666666667,0,14.9166666666667
